loss_kl,acc,auroc,loss_nll,loss_mse,mse_unobserved,loss,inference time
-3.205879259109497,0.5022693452380953,0.5023243984513247,194548219.8,0.10590539798140526,0.0,194548219.6,0.09045792818069458
-2.4506367564201357,0.502046130952381,0.500595381635621,47514811.4,0.025865439791232347,0.0,47514807.4,0.07016159296035766
-1.6887013971805573,0.5033482142857143,0.5004757849703271,26371397.5,0.01435568747110665,0.0,26371395.5,0.06741970777511597
-1.2489368796348572,0.503125,0.502249004398995,20097918.6,0.010940619837492704,0.0,20097916.6,0.06801785230636596
-0.9932448118925095,0.5024925595238094,0.5016264242117555,17112407.25,0.00931540948804468,0.0,17112406.1,0.07071033716201783
-0.8463137954473495,0.5039434523809524,0.5024072162218275,15434447.75,0.008401985769160092,0.0,15434446.85,0.07280548810958862
-0.7314022302627563,0.5030505952380953,0.5015879799889243,14254346.1,0.0077595784794539215,0.0,14254345.1,0.06926301717758179
-0.634327495098114,0.5025297619047618,0.5020420608358925,13390597.75,0.007289383583702147,0.0,13390596.75,0.07140927314758301
-0.5452005416154861,0.5028645833333334,0.5020834255896115,12833522.7,0.006986131030134857,0.0,12833521.7,0.07958943843841552
-0.4701365351676941,0.502641369047619,0.5014454481451783,12401574.65,0.00675099331419915,0.0,12401574.6,0.076595139503479
-0.41700835824012755,0.5027901785714286,0.501745862609835,11955168.1,0.00650798489805311,0.0,11955168.1,0.075947105884552
-0.37971422374248504,0.5024925595238094,0.5012531234442551,11678260.7,0.006357245845720172,0.0,11678260.7,0.07754260301589966
-0.3507687747478485,0.5020833333333333,0.5014422546291268,11456728.1,0.006236650957725942,0.0,11456728.1,0.07340503931045532
-0.3259793400764465,0.503236607142857,0.5024861684029978,11266517.6,0.0061331070493906735,0.0,11266517.6,0.07190800905227661
-0.3041277527809143,0.5029761904761905,0.5022212456104262,11061397.8,0.006021446757949888,0.0,11061397.8,0.07290533781051636
-0.2848515510559082,0.5030877976190475,0.5024603122644666,10823187.7,0.005891773407347501,0.0,10823187.7,0.07330256700515747
-0.2703322574496269,0.5033110119047619,0.5023886462865438,10658732.25,0.005802249605767429,0.0,10658732.25,0.07285466194152831
-0.2576416864991188,0.5031994047619047,0.5021390012116128,10535943.0,0.0057354071643203495,0.0,10535943.0,0.07759255170822144
-0.2468271292746067,0.5026041666666666,0.5016887194077038,10334051.9,0.005625504488125444,0.0,10334051.9,0.07395237684249878
-0.23668017089366913,0.5026041666666667,0.5019105740983631,10219844.9,0.005563334166072309,0.0,10219844.9,0.07260611057281494
-0.22755166217684747,0.5029761904761905,0.5019898291104472,10085940.75,0.00549044122453779,0.0,10085940.75,0.07320427894592285
-0.21878615468740464,0.5034226190476191,0.5023339388331346,9911069.55,0.0053952473914250735,0.0,9911069.55,0.0752487301826477
-0.21096181720495225,0.5047247023809525,0.503613573215603,9801557.8,0.005335632897913456,0.0,9801557.8,0.07589856386184693
-0.2041931927204132,0.5028645833333334,0.5014568874552815,9752083.75,0.005308701167814433,0.0,9752083.75,0.07424979209899903
-0.19829062074422837,0.5028645833333334,0.5012745777495349,9637792.85,0.005246484978124499,0.0,9637792.85,0.07489811182022095
-0.1926363602280617,0.5023809523809524,0.5005299823746083,9441782.825,0.0051397837465628985,0.0,9441782.825,0.07465062141418458
-0.1879136309027672,0.5033854166666667,0.5013895438777227,9339529.15,0.005084120435640216,0.0,9339529.15,0.07554819583892822
-0.1839153289794922,0.5035342261904763,0.501431017160778,9191275.525,0.005003416235558689,0.0,9191275.525,0.07604628801345825
-0.18013765588402747,0.5023065476190476,0.49995863539651453,9089787.0,0.004948169295676053,0.0,9089787.0,0.07579740285873413
-0.17723836079239846,0.5031994047619048,0.5006831632876774,9005842.275,0.004902472510002554,0.0,9005842.275,0.0746489405632019
-0.17513291537761688,0.5029761904761906,0.5001258474529886,8866512.5,0.004826626158319414,0.0,8866512.5,0.07564812898635864
-0.17368400618433952,0.5032738095238095,0.5008449145651884,8703310.625,0.004737784760072828,0.0,8703310.625,0.07465029954910278
-0.175171210616827,0.5028645833333334,0.5003557273461643,8627565.425,0.004696551547385752,0.0,8627565.425,0.07484976053237916
-0.18187375664710997,0.5037202380952381,0.5009762786386578,8489140.0,0.004621197539381683,0.0,8489140.0,0.07619619369506836
-0.19842229932546615,0.503311011904762,0.5002978637664013,8517494.55,0.00463663280243054,0.0,8517494.55,0.07684468030929566
-0.23112752214074134,0.503125,0.4993474088675306,8343288.975,0.004541801218874752,0.0,8343288.975,0.07689441442489624
-0.20377849265933037,0.5024553571428572,0.498536826513562,7961186.425,0.004333797725848854,0.0,7961186.425,0.07739343643188476
-0.1573351092636585,0.5031622023809523,0.49839645935104293,7492638.925,0.004078736435621977,0.0,7492638.925,0.07594538927078247
-0.1482984222471714,0.5029017857142856,0.49824927754680226,7028850.825,0.0038262662244960667,0.0,7028850.825,0.08118206262588501
-0.15132074803113937,0.5035342261904763,0.49881816861866046,7062764.6,0.0038447276107035576,0.0,7062764.6,0.07863845825195312
-0.16412055119872093,0.5033854166666666,0.49835793064451395,7681350.725,0.0041814646567218,0.0,7681350.725,0.07783994674682618
-0.20438529476523398,0.5030505952380951,0.49863773391607935,6698863.525,0.0036466323304921388,0.0,6698863.525,0.07843819856643677
-0.2799498587846756,0.5028645833333333,0.49800599646292965,6019211.875,0.00327665307559073,0.0,6019211.425,0.07549837827682496
-0.2635103315114975,0.5036458333333333,0.49801201590096006,5423372.225,0.0029522984521463515,0.0,5423371.9,0.0807839035987854
